case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_raw_endpoint_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_pivot_velocity_constraint_norm,max_endpoint_axis_velocity_constraint_norm,max_stage_pivot_velocity_constraint_norm,max_stage_axis_velocity_constraint_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_projection_position_correction,max_projection_orientation_correction_rad,max_projection_velocity_correction,max_projection_omega_correction,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
absolute_revolute_smooth,abs_revolute_gauss6_pivotvc,0.025,ok,,40,2.3104356591557872e-08,6.4371193396188520e-04,3.67507965e-01,149,4.2770451415259206e-12,1.2917395716589799e-06,1.2917395716589799e-06,0.0000000000000000e+00,2.9271172690604173e-14,0.0000000000000000e+00,4.2770451415259206e-12,1.2917395716589799e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,2.9271172690604173e-14,6.6136331569211904e+01,-5.9671898560391596e-04,-1.0044306008300276e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_pivotvc,0.0125,ok,,80,3.1653902770860500e-08,6.4289028860445296e-04,5.05608725e-01,240,6.6661196425418136e-14,6.8966901182251457e-08,6.8966901182251457e-08,0.0000000000000000e+00,8.8842233169731778e-16,0.0000000000000000e+00,6.6661196425418136e-14,6.8966901182251457e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298709097e-16,8.8842233169731778e-16,6.6141811788188448e+01,-3.3313302519355389e-07,-1.0044299693690166e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.05,ok,,20,2.3233441899786218e-04,3.5817471555670416e-03,1.49989829e-01,79,4.7706055802648588e-06,1.1443753457860506e-03,0.0000000000000000e+00,0.0000000000000000e+00,5.0818808686803514e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7706055802648588e-06,2.6138918989384471e-16,1.1443753457860506e-03,0.0000000000000000e+00,4.0029660424867210e-16,5.0818808686803514e-04,6.6162119333936815e+01,-6.7747198491320928e-04,-1.0072808654353223e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.025,ok,,40,3.4233802942074465e-05,1.4073721003567546e-03,2.72934829e-01,154,2.9997846583311080e-07,1.4409337709213817e-04,0.0000000000000000e+00,0.0000000000000000e+00,6.3883765067433666e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9997846583311080e-07,2.2119011379784644e-16,1.4409337709213817e-04,0.0000000000000000e+00,3.1401849173675503e-16,6.3883765067433666e-05,6.6216746485951433e+01,-5.9661678876060957e-04,-1.0048244039035760e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.0125,ok,,80,5.4624785039839264e-06,8.3593267492290679e-04,4.86392585e-01,297,1.8738993221192061e-08,1.8001062772562934e-05,0.0000000000000000e+00,0.0000000000000000e+00,7.9808049796158288e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8738993221192061e-08,2.6132221058345072e-16,1.8001062772562934e-05,0.0000000000000000e+00,4.0029660424867210e-16,7.9808049796158288e-06,6.6151198826385041e+01,-3.3403080514428406e-07,-1.0044876117152972e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4,0.05,ok,,20,2.1953900512653593e-01,2.2786449352889244e+00,1.49522725e-01,98,8.6519726439728212e-04,3.1988905434360833e+00,3.1988905434360833e+00,0.0000000000000000e+00,5.9790942633027984e-02,0.0000000000000000e+00,8.6519726439728212e-04,3.1988905434360833e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,5.9790942633027984e-02,6.3660470918822568e+02,-5.5991420195941125e-02,3.1974573238985299e-01,1.0465439529157123e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4,0.025,failed,"absolute revolute DAE solve failed, residual=5.033e+01",,,,2.84743466e-01,,,,,,,,,,,,,,,,,,,,
absolute_revolute_sharp,abs_revolute_gauss4,0.0125,failed,"absolute revolute DAE solve failed, residual=5.861e+01",,,,5.68754416e-01,,,,,,,,,,,,,,,,,,,,
absolute_revolute_sharp,abs_revolute_gauss6,0.05,ok,,20,2.2275884705445252e-05,4.5290279988396111e-02,1.38892441e-01,80,8.0539533470266381e-06,4.4400730903767206e-02,4.4400730903767206e-02,0.0000000000000000e+00,9.4355948185901413e-04,0.0000000000000000e+00,8.0539533470266381e-06,4.4400730903767206e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,9.4355948185901413e-04,6.9753282129888191e+01,-4.5723984560465713e-03,-9.4390524254973546e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss6,0.025,ok,,40,8.2995225834005528e-07,1.0409367434497198e-02,2.49664858e-01,159,5.1941757966698824e-07,1.1422546676954233e-02,1.1422546676954233e-02,0.0000000000000000e+00,1.2166816036261395e-04,0.0000000000000000e+00,5.1941757966698824e-07,1.1422546676954233e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,1.2166816036261395e-04,6.8208643756307424e+01,-5.2217246611263833e-03,-9.4497315402328821e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss6,0.0125,ok,,80,4.4727969183566736e-07,1.7430464431771389e-03,4.74839445e-01,298,2.7129313894673288e-08,2.3250473587230146e-03,2.3250473587230146e-03,0.0000000000000000e+00,1.2635083880960625e-05,0.0000000000000000e+00,2.7129313894673288e-08,2.3250473587230146e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,1.2635083880960625e-05,6.7048127640456656e+01,-2.9397545081991760e-05,-9.4502499342542068e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4_pivotvc,0.05,ok,,20,2.2150584567104009e-05,6.7502794042075681e-04,9.19229040e-02,79,8.2925683728236253e-07,3.2340686904891182e-03,3.2340686904891182e-03,0.0000000000000000e+00,5.9787339602818165e-16,0.0000000000000000e+00,8.2925683728236253e-07,3.2340686904891182e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,5.9787339602818165e-16,6.6252164953968219e+01,-5.5768530694234042e-02,-9.4526098948143331e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4_pivotvc,0.025,ok,,40,2.5382211981275303e-06,8.3190997506395886e-04,1.90088642e-01,135,5.1918847783205631e-08,8.0887471819864466e-04,8.0887471819864466e-04,0.0000000000000000e+00,2.8157672374571254e-14,0.0000000000000000e+00,5.1918847783205631e-08,8.0887471819864466e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298709097e-16,2.8157672374571254e-14,6.6312959568279780e+01,-1.9579620517774135e-02,-9.4502405882923218e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4_pivotvc,0.0125,ok,,80,1.1787196290483859e-08,6.5233190749339892e-04,4.09964726e-01,241,3.2465701734294743e-09,2.0221184547615831e-04,2.0221184547615831e-04,0.0000000000000000e+00,6.6613381477509392e-16,0.0000000000000000e+00,3.2465701734294743e-09,2.0221184547615831e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298709097e-16,6.6613381477509392e-16,6.6282172549493865e+01,-4.2617005417391503e-03,-9.4501479798664495e-02,0.0000000000000000e+00,1.1102230246251565e-16
