case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_raw_endpoint_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_projection_position_correction,max_projection_orientation_correction_rad,max_projection_velocity_correction,max_projection_omega_correction,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.025,ok,,40,3.3274005886978080e-05,7.1597365049474310e-04,2.13994624e-01,154,2.9997846583311080e-07,1.4409337709213817e-04,0.0000000000000000e+00,0.0000000000000000e+00,2.9997846583311080e-07,2.2119011379784644e-16,1.4409337709213817e-04,0.0000000000000000e+00,3.1401849173675503e-16,6.3883765067433666e-05,6.6216746485951433e+01,-5.9661678876060957e-04,-1.0048244039035760e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.0125,ok,,80,4.5026814488774098e-06,1.4453422506089525e-04,4.41677011e-01,297,1.8738993221192061e-08,1.8001062772562934e-05,0.0000000000000000e+00,0.0000000000000000e+00,1.8738993221192061e-08,2.6132221058345072e-16,1.8001062772562934e-05,0.0000000000000000e+00,4.0029660424867210e-16,7.9808049796158288e-06,6.6151198826385041e+01,-3.3403080514428406e-07,-1.0044876117152972e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4,0.05,ok,,20,2.1953806318984065e-01,2.2780156447269908e+00,1.45378860e-01,98,8.6519726439728212e-04,3.1988905434360833e+00,8.6519726439728212e-04,3.1988905434360833e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,5.9790942633027984e-02,6.3660470918822568e+02,-5.5991420195941125e-02,3.1974573238985299e-01,1.0465439529157123e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4,0.025,failed,"absolute revolute DAE solve failed, residual=5.033e+01",,,,2.62122178e-01,,,,,,,,,,,,,,,,
absolute_revolute_sharp,abs_revolute_gauss4,0.0125,failed,"absolute revolute DAE solve failed, residual=5.861e+01",,,,5.18790757e-01,,,,,,,,,,,,,,,,
absolute_revolute_sharp,abs_revolute_gauss6,0.05,ok,,20,2.3217821400606967e-05,4.5919570550329469e-02,1.11068038e-01,80,8.0539533470266381e-06,4.4400730903767206e-02,8.0539533470266381e-06,4.4400730903767206e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,9.4355948185901413e-04,6.9753282129888191e+01,-4.5723984560465713e-03,-9.4390524254973546e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss6,0.025,ok,,40,1.1198443683862722e-07,1.1038657996430556e-02,2.75394873e-01,159,5.1941757966698824e-07,1.1422546676954233e-02,5.1941757966698824e-07,1.1422546676954233e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,1.2166816036261395e-04,6.8208643756307424e+01,-5.2217246611263833e-03,-9.4497315402328821e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss6,0.0125,ok,,80,1.3892163869867622e-06,2.3723370051104975e-03,4.50025735e-01,298,2.7129313894673288e-08,2.3250473587230146e-03,2.7129313894673288e-08,2.3250473587230146e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,1.2635083880960625e-05,6.7048127640456656e+01,-2.9397545081991760e-05,-9.4502499342542068e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4_projected,0.05,ok,,20,2.1750411164146440e-02,1.7471684320672087e-02,8.84506510e-02,79,1.1478247186700454e-04,1.3842008666520456e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.1478247186700454e-04,1.6135132621804458e-16,1.3842008666520456e-02,0.0000000000000000e+00,2.2204460492503131e-16,6.2150492518997730e-03,6.5921498749822803e+01,-5.5991420195941125e-02,-1.2342518247464003e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4_projected,0.025,ok,,40,1.0991475005811668e-02,7.7593070864370173e-03,2.28079769e-01,154,1.4540157444664182e-05,3.4736034338672095e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.4540157444664182e-05,2.0634764073379654e-16,3.4736034338668847e-03,0.0000000000000000e+00,3.1401849173675503e-16,1.5819593300013650e-03,6.6031440104025350e+01,-1.9549605029959706e-02,-1.0918249820375303e-01,0.0000000000000000e+00,1.1102230246251565e-16
