case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_raw_endpoint_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_pivot_velocity_constraint_norm,max_endpoint_axis_velocity_constraint_norm,max_stage_pivot_velocity_constraint_norm,max_stage_axis_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_stage_acceleration_constraint_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_projection_position_correction,max_projection_orientation_correction_rad,max_projection_velocity_correction,max_projection_omega_correction,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
offaxis_revolute_smooth,abs_revolute_gauss4_fullva,0.0125,ok,,80,1.5170111952390619e-08,2.0586530626726107e-07,4.34924618e-01,240,3.2280642176270338e-09,8.1317483090589186e-09,8.1317483090589186e-09,1.6517586001181018e-21,4.9650683065062756e-16,5.0218063819073661e-20,3.2023728339893768e-15,9.3633119923173397e-26,3.2023728339893768e-15,3.2280642176270338e-09,8.1317483090589186e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615640998e-16,4.9650683170243168e-16,6.6144811858153403e+01,-4.5366266150793444e-04,-1.0044297480074911e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss6_fullva,0.05,ok,,20,2.5014059645694534e-06,2.7343422113433602e-05,1.43025858e-01,79,2.7172614279017815e-10,2.0609487419787357e-09,2.0609487419787357e-09,1.6020581146336993e-22,5.5511151231257827e-16,3.4903746013047510e-21,7.9274899591546416e-14,1.6300416449501355e-23,7.9274899591546416e-14,2.7172614279017815e-10,2.0609487419787357e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,5.5511151231312742e-16,6.6132637297308804e+01,-6.7696278431668584e-04,-1.0043988558462165e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss6_fullva,0.025,ok,,40,5.5249244958723306e-08,1.2301576360410071e-06,2.63142445e-01,121,4.2840539886692723e-12,3.3766323030912561e-11,3.3766323030912561e-11,1.1146458278261443e-20,6.6613381477513919e-16,3.4354116172630705e-19,1.5125133470951639e-14,2.1369384461401372e-24,1.5125133470951639e-14,4.2840539886692723e-12,3.3766323030912561e-11,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1401849177554988e-16,6.6613381492265755e-16,6.6145386213840467e+01,-5.9672291943743867e-04,-1.0044306006508387e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss6_fullva,0.0125,ok,,80,4.8876469986315054e-10,1.1248760596604956e-08,5.55373756e-01,240,6.6443045146069593e-14,5.2125294247498783e-13,5.2125294247498783e-13,1.5229578322090496e-21,8.8991145241087413e-16,7.3590751693232650e-20,2.8086667748613669e-15,1.8666721954248875e-25,2.8086667748613669e-15,6.6443045146069593e-14,5.2125294247498783e-13,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615629564e-16,8.8991145241088991e-16,6.6150649605454817e+01,-3.3313308233040116e-07,-1.0044299693601071e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss4,0.05,ok,,20,2.1953902815322324e-01,2.2780654998712184e+00,1.36380769e-01,98,8.6519726439741494e-04,3.1988905434362058e+00,3.1988905434362058e+00,7.8272765590000647e-20,5.9790942633027110e-02,1.6234845248915823e-21,2.1941231958284479e+02,5.3418762565202309e-18,2.1941231958284479e+02,8.6519726439741494e-04,3.1988905434362058e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,5.9790942633027110e-02,6.3660562812507476e+02,-5.5991420195941131e-02,3.1974573238972454e-01,1.0465439529152913e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss4,0.025,failed,"absolute revolute DAE solve failed, residual=5.033e+01",,,,2.64832197e-01,,,,,,,,,,,,,,,,,,,,,,,
offaxis_revolute_sharp,abs_revolute_gauss4,0.0125,failed,"absolute revolute DAE solve failed, residual=5.861e+01",,,,6.45343646e-01,,,,,,,,,,,,,,,,,,,,,,,
offaxis_revolute_sharp,abs_revolute_gauss6,0.05,ok,,20,2.2252857996691452e-05,4.5869715407767894e-02,1.24516433e-01,80,8.0539533472530686e-06,4.4400730905493943e-02,4.4400730905493943e-02,9.4915555645853849e-20,9.4355948188711795e-04,1.8380232689746132e-21,5.2607849956635340e+00,1.1465512001247452e-17,5.2607849956635340e+00,8.0539533472530686e-06,4.4400730905493943e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,9.4355948188711795e-04,6.9761668328035270e+01,-4.5723984560465903e-03,-9.4390524254961861e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss6,0.025,ok,,40,8.5297895513177146e-07,1.0988802786545557e-02,2.73936543e-01,159,5.1941757793840586e-07,1.1422546623452415e-02,1.1422546623452415e-02,8.0825133247898117e-18,1.2166815989739285e-04,1.2022728874772035e-19,2.7240570308133814e+00,1.9223546860818846e-15,2.7240570308133814e+00,5.1941757793840586e-07,1.1422546623452415e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,1.2166815989739285e-04,6.8217219837139226e+01,-5.2217246611264432e-03,-9.4497315402349680e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss6,0.0125,ok,,80,4.2425294072631781e-07,2.3224823070105288e-03,4.87271735e-01,298,2.7129318353097704e-08,2.3250478074547053e-03,2.3250478074547053e-03,2.6585601955290679e-16,1.2635086048860129e-05,2.1033304456548002e-18,1.1125771804352338e+00,1.2694615644460634e-13,1.1125771804352338e+00,2.7129318353097704e-08,2.3250478074547053e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3766115072321297e-16,1.2635086048860129e-05,6.7056852244117422e+01,-2.9397545081995284e-05,-9.4502499342569796e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss4_pivotvc,0.05,ok,,20,2.2173611275696387e-05,9.5592522104906430e-05,1.01721810e-01,79,8.2925683728236253e-07,3.2340686904891182e-03,3.2340686904891182e-03,1.0774928697658627e-18,5.9787339602818165e-16,3.3714011443332854e-20,2.2263275686925815e-01,7.2968616168861978e-17,2.2263275686925815e-01,8.2925683728236253e-07,3.2340686904891182e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,5.9787339602818175e-16,6.6260994265765547e+01,-5.5768530694234042e-02,-9.4526098948143331e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss4_pivotvc,0.025,ok,,40,2.5612478543593985e-06,2.5247455593892243e-04,2.39100218e-01,147,5.1918849455480769e-08,8.0887471865188465e-04,8.0887471865188465e-04,2.5597489297568049e-15,6.7832718865857303e-15,2.2014664361971861e-17,1.1194918255637822e-01,3.5276411082485415e-13,1.1194918255637822e-01,5.1918849455480769e-08,8.0887471865188465e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5700924586837752e-16,6.7833014297715137e-15,6.6321780786797859e+01,-1.9579620517774135e-02,-9.4502405882847945e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss4_pivotvc,0.0125,ok,,80,1.1239512271315635e-08,7.2896489177548540e-05,4.18356433e-01,241,3.2465701734294743e-09,2.0221184547615831e-04,2.0221184547615831e-04,8.7733437836061905e-16,6.6613381477509392e-16,2.7578343766923105e-17,5.6032860240785062e-02,2.4317798968588624e-13,5.6032860240785062e-02,3.2465701734294743e-09,2.0221184547615831e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298843188e-16,6.6615802947951068e-16,6.6290997864573413e+01,-4.2617005417391503e-03,-9.4501479798664495e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss6_pivotvc,0.05,ok,,20,3.1658106549455261e-05,2.6549059581002371e-03,1.42096343e-01,79,2.7126741814572434e-10,2.4976583780421803e-05,2.4976583780421803e-05,1.2028052184999489e-17,4.5775667985222375e-16,3.2275088426278547e-19,2.5743968402849294e-03,1.4163687623136922e-15,2.5743968402849294e-03,2.7126741814572434e-10,2.4976583780421803e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298709097e-16,4.5775673880068852e-16,6.6244108626337663e+01,-4.5693444593369005e-03,-9.4482001990525907e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss6_pivotvc,0.025,ok,,40,1.4115025396084655e-07,1.1729451452298367e-04,3.28139156e-01,152,4.4659354367686423e-12,1.1308361170206694e-06,1.1308361170206694e-06,1.0149675923475640e-16,2.2673094644458401e-15,2.6946432850823489e-17,2.1676443255248001e-04,2.5293904220878081e-14,2.1676443255248001e-04,4.4659354367686423e-12,1.1308361170206694e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1401849173675503e-16,2.2674695847594221e-15,6.6261268264926485e+01,-5.2026196262396872e-03,-9.4501220576351588e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss6_pivotvc,0.0125,ok,,80,5.2653642957743662e-07,6.4467632427067656e-05,5.60463465e-01,241,6.8628757533381444e-14,9.5799769286847330e-08,9.5799769286847264e-08,6.3000316659271565e-15,7.1088959579333461e-16,3.5855687457233852e-17,3.9219336651177074e-05,3.0159005433834813e-12,3.9219336651177115e-05,6.8628757533381444e-14,9.5799769286847330e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341537622548e-16,7.1098278223535981e-16,6.6269597210294890e+01,-2.9400448162046248e-05,-9.4502237758815277e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss4_pivotva,0.05,ok,,20,2.1991128739164874e-05,7.2719901444313895e-04,1.29065280e-01,79,8.3015627883654871e-07,2.0980064576942109e-06,2.0980064576942109e-06,2.0674675818760982e-19,5.5511151231257827e-16,3.7018406658684056e-20,3.4732950713420193e-14,1.3861468927214841e-17,3.4732951359354957e-14,8.3015627883654871e-07,2.0980064576942109e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,5.5511151231257827e-16,6.6241758969896836e+01,-5.6115886629208106e-02,-9.4525688565426438e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss4_pivotva,0.025,ok,,40,2.5121011276840710e-06,4.0518172303867506e-04,2.34068001e-01,121,5.1932826830709474e-08,1.3061237045137729e-07,1.3061237045137729e-07,2.6879867196590389e-15,4.9650683067321995e-16,6.5968932691266904e-17,2.1500523027580351e-14,3.7237876316501986e-13,3.7245501908483640e-13,5.1932826830709474e-08,1.3061237045137729e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0014830224777530e-16,4.9725328568473249e-16,6.6268478273102389e+01,-1.9535935473043709e-02,-9.4502336390571401e-02,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_sharp,abs_revolute_gauss4_pivotva,0.0125,ok,,80,6.6073880379742974e-09,1.1225450834391471e-04,4.43259510e-01,241,3.2467880668358377e-09,8.1780331749690112e-09,8.1780331749689930e-09,1.4576282463390899e-15,4.9650683064945571e-16,1.8583172021340897e-17,2.8086667748613752e-15,4.0295739755815909e-13,4.0296131289550015e-13,3.2467880668358377e-09,8.1780331749690112e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0029660426040719e-16,4.9656826851112524e-16,6.6266009119894591e+01,-4.2576732094747292e-03,-9.4501461888457469e-02,0.0000000000000000e+00,1.1102230246251565e-16
