example,method,family,status,source_level,h_values,t_end,reference_h,pos_order,vel_order,acc_order,finest_pos_error,finest_vel_error,finest_acc_error,paper_claim_scope,source_policy_closed
single_pendulum,vp2024_coordinate_partitioning_rA,Kissel/Bakke/Negrut 2024,ok,local_proxy_or_alias,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-6.667321430048929e-11,6.1493372218877035e-15,7.208786419307963e-16,1.0457013043656772e-10,3.162803352673932e-11,2.827249550625761e-10,proxy_or_alias_diagnostic_not_original_code_superiority,False
double_pendulum,local_Gauss6_FullVA,local proposed method,ok,local_proposed_method,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,6.01071161969125,6.009704989719966,,3.099742684753437e-13,2.34558900080728e-13,,internal_order_evidence,True
double_pendulum,hi2022_rA,Fang/Kissel/Zhang/Negrut 2022,ok,public_code_bounded_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,0.9998005854915686,1.049061571466351,,0.014711756063683357,4.9441369128544466e-05,,bounded_common_reference_diagnostic_not_source_policy_superiority,False
double_pendulum,hi2022_rA_half,Fang/Kissel/Zhang/Negrut 2022,ok,public_code_bounded_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,0.05323671559257014,-0.7989948361784505,,0.16399844706161448,2.969954502545404,,bounded_common_reference_diagnostic_not_source_policy_superiority,False
double_pendulum,ra2021_rA,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,0.9997993687980967,1.0524410322831526,,0.014711777551106753,4.924120875315907e-05,,bounded_common_reference_diagnostic_not_source_policy_superiority,False
double_pendulum,ra2021_reps,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,0.9997993687980967,1.052441032250626,,0.014711777551106753,4.924120875537952e-05,,bounded_common_reference_diagnostic_not_source_policy_superiority,False
double_pendulum,ra2021_rp,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,1.7164433305257316,0.3613896450646621,,0.0054493531595405376,5.240982609822607e-05,,bounded_common_reference_diagnostic_not_source_policy_superiority,False
double_pendulum,tfe2026_Newmark_beta,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,1.1809889430700553,1.786509368556354,,3.985318981492014e-07,0.0004245500343553442,,formula_proxy_diagnostic_not_original_paper_superiority,False
double_pendulum,tfe2026_TFE_m1,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,0.9981500720630342,1.9960575232876485,,7.36220309827118e-05,0.00027079647030569566,,formula_proxy_diagnostic_not_original_paper_superiority,False
double_pendulum,tfe2026_TFE_m2,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,2.3591319135707947,1.869929411329913,,1.8002076274115097e-08,8.711100752408114e-05,,formula_proxy_diagnostic_not_original_paper_superiority,False
double_pendulum,tfe2026_trapezoidal,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,1.3376731306954295,1.999659298630473,,3.110751103374554e-07,0.0002708081833336356,,formula_proxy_diagnostic_not_original_paper_superiority,False
double_pendulum,vp2024_coordinate_partitioning_rA,Kissel/Bakke/Negrut 2024,ok,local_proxy_or_alias,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,1.0000489450556438,1.000054044890297,,0.014713416084404018,0.00216511642574702,,proxy_or_alias_diagnostic_not_original_code_superiority,False
four_link,local_Gauss6_FullVA,local proposed method,ok,local_proposed_method,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,5.954897911118808,6.08481873098771,0.9946688781585981,2.2888357875672227e-12,1.092770318678049e-11,0.880439323826729,internal_order_evidence,True
four_link,hi2022_rA,Fang/Kissel/Zhang/Negrut 2022,ok,public_code_bounded_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-2.5523877558417792e-05,1.015449537603277,1.0361719660756612,8.773097803782548e-09,0.1970422879518936,1.7541871547439474,bounded_common_reference_diagnostic_not_source_policy_superiority,False
four_link,hi2022_rA_half,Fang/Kissel/Zhang/Negrut 2022,ok,public_code_bounded_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,0.00010720334254881806,1.589647783732383,1.7915705481748716,8.772638171450353e-09,0.19704228794818812,1.7541871553140398,bounded_common_reference_diagnostic_not_source_policy_superiority,False
four_link,ra2021_rA,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,0.9134578583744196,1.0154496752651214,1.036176141081909,1.0859859678191697e-08,0.19704229997398626,1.7541771089287739,bounded_common_reference_diagnostic_not_source_policy_superiority,False
four_link,ra2021_reps,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-1.1003145576755735,2.8937856370268396,3.9557974711533026,2.5727215025028727e-08,0.01457768079053734,0.030639822390458704,bounded_common_reference_diagnostic_not_source_policy_superiority,False
four_link,ra2021_rp,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,3.661471909410396,2.893731945597507,3.9459390731106287,7.849498828704782e-11,0.014578766190558312,0.031061436416303323,bounded_common_reference_diagnostic_not_source_policy_superiority,False
four_link,tfe2026_Newmark_beta,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-3.651552142632717e-08,1.87247358966353,-0.1984853135143281,8.772780279997505e-09,0.016721971482511755,8.620474135171408,formula_proxy_diagnostic_not_original_paper_superiority,False
four_link,tfe2026_TFE_m1,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-1.8257759378406358e-07,3.865655250588376,0.06843278637376035,8.772782056354345e-09,0.0005253358770684891,8.19341942580709,formula_proxy_diagnostic_not_original_paper_superiority,False
four_link,tfe2026_TFE_m2,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-9.859198136423567e-07,1.0213293368837018,0.12774501278952557,8.772779835908295e-09,0.0006711311439073775,7.00776754760588,formula_proxy_diagnostic_not_original_paper_superiority,False
