policy,paper_method,source_method,expected_order,nominal_h,effective_h,steps,final_partial_h,terminal_time,terminal_time_offset_from_T,coordinate_error_q,velocity_error_v,frobenius_error_norm_eta,max_residual_norm,total_newton_iterations
floor_horizon,tfe2026_TFE_m2,TFE_m2,3,0.003,0.003,3333,0.0,9.999,-0.0009999999999994458,6.174118993840239e-10,4.161952116277234e-09,8.731522766338176e-10,2.4823249955598125e-09,6514.0
floor_horizon,tfe2026_trapezoidal,trapezoidal,2,0.012,0.012,833,0.0,9.996,-0.0039999999999995595,0.0003494519679860808,0.000818543691132767,0.0004941997100092729,9.786242707227817e-13,1046.0
floor_horizon,tfe2026_trapezoidal,trapezoidal,2,0.006,0.006,1666,0.0,9.996,-0.0039999999999995595,8.734439178548214e-05,0.00020465051150919678,0.00012352362342097248,8.222129613713458e-13,1666.0
floor_horizon,tfe2026_trapezoidal,trapezoidal,2,0.003,0.003,3333,0.0,9.999,-0.0009999999999994458,2.1683748368417355e-05,5.123514037141952e-05,3.0665451025070914e-05,9.497229928525828e-13,3327.0
integer_steps_plus_final_partial_step,tfe2026_Newmark_beta,Newmark_beta,2,0.012,0.012,833,0.0039999999999995595,10.0,0.0,0.0004500621060263832,0.0010695521292281018,0.0006364839288808791,9.865615556594547e-13,1042.0
integer_steps_plus_final_partial_step,tfe2026_Newmark_beta,Newmark_beta,2,0.006,0.006,1666,0.0039999999999995595,10.0,0.0,0.00011249045482708553,0.0002674405905715993,0.00015908552677004932,8.375554551141379e-13,1667.0
integer_steps_plus_final_partial_step,tfe2026_Newmark_beta,Newmark_beta,2,0.003,0.003,3333,0.0009999999999994458,10.0,0.0,2.8122326231283523e-05,6.68691850700398e-05,3.977097516046677e-05,9.486371985246574e-13,3328.0
integer_steps_plus_final_partial_step,tfe2026_TFE_m1,TFE_m1,1,0.012,0.012,833,0.0039999999999995595,10.0,0.0,0.00040230676745478533,0.004157598391158146,0.0005689476829321976,9.912071163853398e-13,1558.0
integer_steps_plus_final_partial_step,tfe2026_TFE_m1,TFE_m1,1,0.006,0.006,1666,0.0039999999999995595,10.0,0.0,0.0002884239725275961,0.0022847108603174515,0.00040789309224825265,9.805489753489383e-13,3058.0
integer_steps_plus_final_partial_step,tfe2026_TFE_m1,TFE_m1,1,0.003,0.003,3333,0.0009999999999994458,10.0,0.0,0.000166082153398861,0.0011938218490876729,0.0002348756335348902,9.967582315084655e-13,5967.0
integer_steps_plus_final_partial_step,tfe2026_TFE_m2,TFE_m2,3,0.012,0.012,833,0.0039999999999995595,10.0,0.0,3.723589658832793e-08,2.6284638998674836e-07,5.265950998795961e-08,4.240548090303706e-10,1579.0
integer_steps_plus_final_partial_step,tfe2026_TFE_m2,TFE_m2,3,0.006,0.006,1666,0.0039999999999995595,10.0,0.0,4.750677629061784e-09,3.304176887652943e-08,6.718472758630501e-09,6.110477701140748e-10,3218.0
integer_steps_plus_final_partial_step,tfe2026_TFE_m2,TFE_m2,3,0.003,0.003,3333,0.0009999999999994458,10.0,0.0,6.132458985064204e-10,4.161078814846064e-09,8.672606632678855e-10,6.843627118021719e-09,6516.0
integer_steps_plus_final_partial_step,tfe2026_trapezoidal,trapezoidal,2,0.012,0.012,833,0.0039999999999995595,10.0,0.0,0.0003461811169191975,0.0008197424025890854,0.0004895740281399021,9.786242707227817e-13,1047.0
integer_steps_plus_final_partial_step,tfe2026_trapezoidal,trapezoidal,2,0.006,0.006,1666,0.0039999999999995595,10.0,0.0,8.653085075316369e-05,0.000204980565124524,0.0001223731026606417,8.222129613713458e-13,1667.0
integer_steps_plus_final_partial_step,tfe2026_trapezoidal,trapezoidal,2,0.003,0.003,3333,0.0009999999999994458,10.0,0.0,2.163259240894888e-05,5.125365911728963e-05,3.059310557342227e-05,9.497229928525828e-13,3328.0
